,,rx5 ALA,rx5 CAN,rx5 CEA,rx5 CWP,rx5 NEA,rx5 NEF,rx5 NPL,rx5 NWP,rx5 SEA,rx5 SPL,rx5 SWP,rx5 USA,rx5 USC
1983,4,0.61,0.97,0.22,0.38,-0.09,2.18,0.32,-1.59,0.47,0.06,2.29,1.32,1.46
1984,1,-0.51,-0.93,1.14,-0.22,1.56,-0.59,-1.68,-1.04,0.66,-0.64,-0.74,-0.37,-0.73
1984,2,-0.79,0.84,2.55,0.64,1.73,0.37,0.93,0.05,0.7,-1.13,-0.73,0.32,0.52
1984,3,0.25,0.43,2,1.12,0.58,1.1,-0.2,0.34,0.25,-1.7,2.41,0,0.31
1984,4,-2.33,0.75,-1.48,0.69,-1.47,-0.92,2.84,-0.01,-0.02,-0.17,-0.01,-0.27,-0.06
1985,1,1.46,-0.31,-0.42,-1.54,-0.19,0.81,-1.01,-0.69,-0.47,2.19,-0.52,0.41,0.24
1985,2,0.81,-0.56,-0.85,-0.93,-1.15,0.07,-0.3,-0.81,-1.53,0.59,0.24,-0.36,-0.51
1985,3,-0.05,-0.82,-0.64,0.39,0.47,0.57,-0.68,-1.41,0.46,-0.34,-0.91,-0.28,-0.85
1985,4,0.97,0.02,1.93,0.81,-0.94,1.4,0.03,-1.29,1.53,1.22,1.32,2.35,2.15
1986,1,0.96,-1.16,0.61,0.47,-1.38,-0.98,-1.18,-0.36,-1.18,-0.36,0.92,0.21,-0.35
1986,2,-1.44,2.18,0.12,-0.06,0.08,1.7,1.94,1,-1.6,-0.3,0.61,-0.85,-0.05
1986,3,0.34,-0.2,0.83,-1.6,1.07,0.37,-0.1,-1.14,-0.63,0.28,0.59,0.22,0.08
1986,4,1.21,0.06,-0.7,0.92,-1.54,0.34,-0.12,1.14,0.93,2.35,0.47,2.33,2.14
1987,1,0.96,-1.64,-0.7,-1.15,-1.39,-2.4,-0.9,-0.65,0.48,0.9,-0.35,-0.26,-0.99
1987,2,-0.45,-0.53,0.12,-0.03,-1.67,-1.05,-0.47,1.96,0.22,1.39,-0.23,0.18,-0.04
1987,3,-0.1,0.89,-0.54,0.28,-0.79,0.18,0.92,1.31,-1.08,1.49,0.01,0.4,1.06
1987,4,1.21,-0.5,0.52,-2.54,0.77,-0.2,-1.39,0.64,-0.49,-1.39,-0.5,-1.39,-1.42
1988,1,0.75,-0.77,-0.4,-0.46,0.07,-0.34,-0.9,-0.63,0.12,-0.41,-0.47,-0.19,-0.49
1988,2,0.65,0.26,-0.6,0.63,-0.7,-0.5,0.43,1.44,-1.92,-1.43,0.26,-1.71,-1.39
1988,3,-0.62,1.58,0.19,-0.75,-0.91,1.22,1.13,0.73,-1.73,-1.52,0.69,-2.26,-1.45
1988,4,-0.3,0.29,-0.13,-0.32,-0.91,0.36,-0.8,1.82,0.73,-0.75,-1.01,-0.43,-0.3
1989,1,0.87,-1.52,-1.78,-1.15,-2.23,-1.98,-0.27,-0.59,0.14,0.81,-0.88,-0.51,-1.17
1989,2,0.02,-0.6,1.03,0.47,-0.14,-0.24,0.31,-1.31,0.26,0.62,-0.97,0.08,-0.15
1989,3,0.55,-0.95,0.63,-0.52,0.84,-1.03,-0.39,-1.11,2.02,0.81,-0.24,1.31,0.83
1989,4,0.53,-0.25,0.91,-0.36,-0.13,-0.33,0.4,-0.2,0.7,-0.83,-0.65,-0.31,-0.35
1990,1,0.92,-0.49,-0.33,-0.39,-0.03,-1.17,-0.51,0.22,0.95,0.41,-1.03,-0.11,-0.37
1990,2,0.41,0.18,0.31,0.89,-1.28,0.06,1.38,0.03,0.02,2.18,-0.09,1.32,1.16
1990,3,0.57,0.44,1.25,1.3,0.6,-0.12,0.05,0.79,-1.29,-0.16,1.06,0.69,1.1
1990,4,0.59,0.79,0.19,-0.44,0.95,1.25,-0.52,0.38,-0.1,-0.66,-0.85,-0.68,-0.4
